epoch,phase,loss,top1,top5,lr,imgs_per_sec
52,val,2.704033,56.6840,81.1140,0.123218,
53,train,2.838095,54.7015,78.1470,0.122748,811
53,val,2.709288,56.7240,80.9980,0.122748,
54,train,2.832556,54.7936,78.2638,0.122223,811
54,val,2.689457,57.0040,81.3240,0.122223,
55,train,2.833183,54.7584,78.2206,0.121645,811
55,val,2.714056,56.2200,80.9960,0.121645,
56,train,2.831012,54.8034,78.2590,0.121015,811
56,val,2.673946,57.4860,81.6500,0.121015,
57,train,2.829695,54.8568,78.2473,0.120331,811
57,val,2.679786,57.3360,81.7320,0.120331,
58,train,2.827116,54.8854,78.3409,0.119596,811
58,val,2.652026,57.4400,82.1440,0.119596,
59,train,2.826536,54.9653,78.3313,0.118810,811
59,val,2.750982,55.6640,80.3320,0.118810,
60,train,2.822360,55.0109,78.4008,0.117974,811
60,val,2.675500,57.3560,81.7500,0.117974,
61,train,2.821077,55.0244,78.4302,0.117088,811
61,val,2.630587,58.2080,82.5600,0.117088,
62,train,2.817747,55.0638,78.4702,0.116153,811
62,val,2.679141,57.2340,81.5900,0.116153,
63,train,2.815055,55.2070,78.5263,0.115170,811
63,val,2.654916,57.6700,81.9640,0.115170,
64,train,2.812945,55.2065,78.5734,0.114140,811
64,val,2.734134,55.8640,80.5740,0.114140,
65,train,2.810804,55.2581,78.6267,0.113063,811
65,val,2.660056,57.5160,81.8920,0.113063,
66,train,2.808779,55.2801,78.6105,0.111942,811
66,val,2.627766,58.2360,82.4740,0.111942,
67,train,2.805567,55.3583,78.7194,0.110776,811
67,val,2.699238,56.7560,81.2880,0.110776,
68,train,2.802843,55.4882,78.7160,0.109567,811
68,val,2.647270,57.9900,82.0460,0.109567,
69,train,2.800025,55.4988,78.7355,0.108316,811
69,val,2.641806,58.1760,82.0820,0.108316,
70,train,2.798596,55.5620,78.8199,0.107023,811
70,val,2.637157,58.0500,82.4320,0.107023,
71,train,2.795746,55.6140,78.8966,0.105691,811
71,val,2.654435,57.7540,81.9900,0.105691,
72,train,2.794935,55.6365,78.8434,0.104320,811
72,val,2.688431,56.7480,81.4420,0.104320,
73,train,2.790016,55.7499,78.9514,0.102912,811
73,val,2.591556,59.1420,83.2720,0.102912,
74,train,2.786768,55.8295,79.0215,0.101468,811
74,val,2.655740,57.4760,82.1200,0.101468,
75,train,2.784712,55.8584,79.0393,0.099989,811
75,val,2.648256,57.7300,82.1680,0.099989,
76,train,2.783054,55.8947,79.0308,0.098476,811
76,val,2.637297,58.2820,82.2200,0.098476,
77,train,2.777192,56.0476,79.1617,0.096931,811
77,val,2.615303,58.5040,82.6780,0.096931,
78,train,2.776413,56.0860,79.1818,0.095355,811
78,val,2.851335,53.1500,78.5020,0.095355,
79,train,2.772994,56.1353,79.2214,0.093750,811
79,val,2.614146,58.8400,82.5660,0.093750,
80,train,2.771665,56.1839,79.2284,0.092117,811
80,val,2.612060,58.7580,82.8380,0.092117,
81,train,2.764978,56.3926,79.3427,0.090457,811
81,val,2.621367,58.3800,82.7000,0.090457,
82,train,2.761537,56.3792,79.4213,0.088772,811
82,val,2.585142,59.4420,83.2720,0.088772,
83,train,2.758170,56.4776,79.5163,0.087064,811
83,val,2.612452,58.5900,82.6020,0.087064,
84,train,2.755711,56.5400,79.4845,0.085334,809
84,val,2.586059,59.4060,83.0620,0.085334,
85,train,2.750453,56.6579,79.5735,0.083583,808
85,val,2.636609,58.4000,82.0500,0.083583,
-1,val,2.636609,58.4000,82.0500,0.083583,
86,train,2.747179,56.7642,79.6328,0.081813,810
86,val,2.634357,57.8960,82.2980,0.081813,
87,train,2.742188,56.8828,79.7190,0.080027,810
87,val,2.625178,58.4620,82.4360,0.080027,
88,train,2.737413,56.9962,79.8012,0.078224,811
88,val,2.579685,59.4360,83.4080,0.078224,
89,train,2.734433,57.0562,79.8618,0.076407,811
89,val,2.584413,59.5160,83.3760,0.076407,
90,train,2.729602,57.1266,79.9495,0.074578,811
90,val,2.541433,60.5280,83.8660,0.074578,
91,train,2.722326,57.3355,80.0345,0.072738,811
91,val,2.523502,60.8180,84.3120,0.072738,
92,train,2.718957,57.3684,80.1488,0.070889,811
92,val,2.584450,59.3160,83.0940,0.070889,
93,train,2.713982,57.5087,80.1947,0.069033,811
93,val,2.522890,60.8340,84.3000,0.069033,
94,train,2.707834,57.6645,80.2767,0.067170,811
94,val,2.533995,60.6460,83.9580,0.067170,
95,train,2.704701,57.7175,80.3592,0.065304,811
95,val,2.549835,60.1660,83.6140,0.065304,
96,train,2.699391,57.8576,80.4389,0.063435,811
96,val,2.482726,62.0760,84.8560,0.063435,
97,train,2.692497,57.9839,80.5298,0.061565,811
97,val,2.516048,61.0140,84.2460,0.061565,
98,train,2.685685,58.1814,80.6566,0.059696,811
98,val,2.539487,60.4540,84.1220,0.059696,
99,train,2.681821,58.2170,80.7117,0.057829,811
99,val,2.577492,59.8160,83.1320,0.057829,
100,train,2.673379,58.5100,80.8642,0.055967,811
100,val,2.524910,60.7660,84.2720,0.055967,
101,train,2.668300,58.5672,80.9396,0.054110,811
101,val,2.441598,62.8720,85.6200,0.054110,
102,train,2.657362,58.8297,81.1275,0.052261,811
102,val,2.505121,61.2320,84.5560,0.052261,
103,train,2.653550,58.9277,81.1693,0.050421,811
103,val,2.472112,62.2580,85.0120,0.050421,
104,train,2.642854,59.1372,81.3571,0.048592,811
104,val,2.589188,59.4580,83.0600,0.048592,
105,train,2.637516,59.2994,81.4446,0.046776,811
105,val,2.449335,62.4740,85.4780,0.046776,
106,train,2.628852,59.5008,81.6059,0.044973,811
106,val,2.497116,61.5300,84.4160,0.044973,
107,train,2.620030,59.6968,81.7724,0.043186,811
107,val,2.417958,63.3260,86.0360,0.043186,
108,train,2.611072,59.9253,81.8714,0.041417,811
108,val,2.500599,61.3680,84.5080,0.041417,
109,train,2.600931,60.1340,82.0495,0.039666,811
109,val,2.428277,63.1560,85.9000,0.039666,
110,train,2.590798,60.3843,82.2030,0.037936,811
110,val,2.438291,63.0840,85.4240,0.037936,
111,train,2.581987,60.5658,82.3210,0.036228,811
111,val,2.396783,63.9220,86.1680,0.036228,
112,train,2.570079,60.8915,82.5457,0.034543,811
112,val,2.419185,63.2560,85.7980,0.034543,
113,train,2.559866,61.0982,82.6706,0.032883,811
113,val,2.381003,64.1140,86.6640,0.032883,
114,train,2.548851,61.3603,82.8575,0.031250,811
114,val,2.440295,62.9380,85.3640,0.031250,
115,train,2.538038,61.6148,83.0160,0.029645,811
115,val,2.356596,64.9380,86.8680,0.029645,
116,train,2.525399,61.9244,83.2212,0.028069,811
116,val,2.331247,65.2800,87.3000,0.028069,
117,train,2.510355,62.2808,83.5045,0.026524,811
117,val,2.370911,64.4880,86.6540,0.026524,
118,train,2.498650,62.5602,83.6530,0.025011,811
118,val,2.324208,65.5940,87.4020,0.025011,
119,train,2.483541,62.9585,83.9064,0.023532,811
119,val,2.300944,66.3800,87.6540,0.023532,
