epoch,phase,loss,top1,top5,lr,imgs_per_sec
53,val,2.313944,66.0620,87.4740,0.01009789,1041.55
54,train,2.579716,60.8143,82.3802,0.00998225,382.17
54,val,2.318285,65.7180,87.4200,0.00998225,656.42
55,train,2.573242,60.9963,82.4933,0.00986458,389.64
55,val,2.316577,65.7660,87.4180,0.00986458,690.61
56,train,2.570841,61.0439,82.5054,0.00974496,387.34
56,val,2.325818,65.6240,87.3200,0.00974496,989.76
57,train,2.565704,61.1400,82.6362,0.00962345,387.50
57,val,2.325186,65.6440,87.5200,0.00962345,683.63
58,train,2.565368,61.1294,82.5792,0.00950011,390.68
58,val,2.304580,66.2480,87.6700,0.00950011,660.00
59,train,2.559578,61.2635,82.7023,0.00937501,385.49
59,val,2.328883,65.6720,87.3260,0.00937501,1070.88
60,train,2.556676,61.3291,82.7440,0.00924821,385.05
60,val,2.312354,66.0840,87.5720,0.00924821,412.77
61,train,2.552713,61.4230,82.7981,0.00911980,385.46
61,val,2.305536,66.0180,87.5760,0.00911980,646.29
62,train,2.550210,61.4452,82.8419,0.00898983,391.12
62,val,2.290090,66.5740,87.8160,0.00898983,701.31
63,train,2.546094,61.6054,82.8994,0.00885837,389.76
63,val,2.305742,66.4160,87.4620,0.00885837,687.22
64,train,2.542428,61.6657,82.9659,0.00872551,393.32
64,val,2.284503,66.7280,88.0620,0.00872551,708.57
65,train,2.540331,61.7294,82.9980,0.00859130,390.70
65,val,2.308277,66.1140,87.6060,0.00859130,643.58
66,train,2.531923,61.9379,83.1214,0.00845583,394.17
66,val,2.280194,66.9600,88.0460,0.00845583,687.51
67,train,2.530152,61.9381,83.1410,0.00831916,388.25
67,val,2.270493,66.9860,88.1880,0.00831916,1127.34
68,train,2.526425,62.0246,83.1927,0.00818137,390.82
68,val,2.255760,67.6120,88.4500,0.00818137,692.43
69,train,2.524299,62.0845,83.1968,0.00804253,394.15
69,val,2.268042,67.0000,88.1680,0.00804253,691.36
70,train,2.518897,62.1739,83.3388,0.00790272,390.85
70,val,2.293641,66.3700,87.6420,0.00790272,683.88
71,train,2.514426,62.3119,83.4035,0.00776202,394.33
71,val,2.247729,67.7560,88.3540,0.00776202,650.02
72,train,2.514200,62.2622,83.4063,0.00762050,390.70
72,val,2.267964,67.1220,88.2840,0.00762050,685.19
