epoch,phase,loss,top1,top5,lr,imgs_per_sec
47,train,4.352839,23.0422,47.1435,0.00388931,391.70
47,val,5.525572,10.0943,26.2299,0.00388931,943.57
48,train,4.299710,24.1474,48.2890,0.00381312,391.96
48,val,5.572940,10.8845,26.2554,0.00381312,948.69
49,train,4.247029,25.1346,49.3395,0.00373388,391.79
49,val,5.476855,10.8335,27.1986,0.00373388,948.80
50,train,4.192099,25.9980,51.2448,0.00365176,391.85
50,val,5.509665,10.9100,26.6123,0.00365176,943.20
51,train,4.152155,27.0283,51.8895,0.00356691,392.07
51,val,5.617347,10.1453,25.3378,0.00356691,938.05
52,train,4.105442,27.8688,53.0407,0.00347951,391.82
52,val,5.508473,11.3943,27.4790,0.00347951,948.83
53,train,4.061439,28.9337,54.5661,0.00338974,392.24
53,val,5.527453,11.4198,27.2496,0.00338974,940.85
54,train,4.005504,29.7827,55.5706,0.00329777,391.83
54,val,5.514538,11.2669,28.1672,0.00329777,948.42
55,train,3.961193,30.8706,56.5837,0.00320379,392.17
55,val,5.549044,11.2924,27.8613,0.00320379,933.05
56,train,3.899581,32.1715,57.9709,0.00310799,391.95
56,val,5.535995,11.6492,27.5045,0.00310799,940.14
57,train,3.858062,32.9976,59.4819,0.00301056,392.24
57,val,5.601326,10.7826,26.9182,0.00301056,944.35
58,train,3.810840,34.4913,60.4202,0.00291171,392.10
58,val,5.562365,11.9296,28.1672,0.00291171,953.39
59,train,3.751315,35.5159,61.8420,0.00281162,391.94
59,val,5.504863,12.4650,29.3143,0.00281162,926.70
60,train,3.708120,36.5348,62.8551,0.00271050,392.21
60,val,5.486440,12.5669,28.9574,0.00271050,946.08
61,train,3.662775,37.4644,63.8711,0.00260856,391.67
61,val,5.589673,11.8787,28.3966,0.00260856,939.32
62,train,3.620196,38.7567,64.7834,0.00250599,392.07
62,val,5.529294,12.2610,29.1868,0.00250599,940.96
63,train,3.587040,39.7208,65.7677,0.00240301,392.25
63,val,5.524873,12.5414,29.5692,0.00240301,937.33
64,train,3.521121,41.1541,67.2586,0.00229982,392.17
64,val,5.570055,12.1591,29.1104,0.00229982,936.56
65,train,3.484364,41.8103,68.1249,0.00219663,392.44
65,val,5.517146,13.1787,29.9771,0.00219663,937.48
66,train,3.431830,43.2005,69.4978,0.00209365,391.77
66,val,5.542692,11.8787,29.4418,0.00209365,946.57
67,train,3.388757,44.6280,70.5368,0.00199109,392.31
67,val,5.563192,12.8218,28.9829,0.00199109,934.80
68,train,3.332037,46.4556,71.9327,0.00188914,392.31
68,val,5.528063,12.4395,30.3849,0.00188914,939.60
69,train,3.290584,47.1003,72.7040,0.00178803,391.85
69,val,5.551792,12.5159,30.3339,0.00178803,936.97
70,train,3.241119,48.6919,73.7286,0.00168794,391.67
70,val,5.522725,13.3571,30.4104,0.00168794,942.40
71,train,3.181794,50.0475,74.8309,0.00158909,391.97
71,val,5.512692,13.4081,30.1045,0.00158909,940.73
72,train,3.149626,51.0807,75.5792,0.00149167,391.71
72,val,5.527279,13.4591,30.7673,0.00149167,933.57
73,train,3.118405,52.0334,76.4398,0.00139588,392.12
73,val,5.503544,13.6375,31.2261,0.00139588,937.22
74,train,3.074855,53.4609,77.2025,0.00130191,391.82
74,val,5.605526,12.3885,30.1045,0.00130191,940.27
75,train,3.041814,54.2956,78.0314,0.00120995,391.71
75,val,5.496424,14.3513,30.4614,0.00120995,932.67
76,train,2.961584,56.7161,79.5337,0.00112018,391.69
76,val,5.555301,13.6375,30.8437,0.00112018,938.95
77,train,2.953851,56.8974,79.6690,0.00103279,391.20
77,val,5.564451,13.6120,30.7418,0.00103279,943.04
78,train,2.903516,58.7682,80.5958,0.00094795,392.07
78,val,5.528121,14.0454,31.3026,0.00094795,930.92
79,train,2.865619,59.5309,81.2750,0.00086584,391.83
79,val,5.524551,14.1473,31.1241,0.00086584,940.97
80,train,2.820453,61.0160,82.2190,0.00078661,392.03
80,val,5.582550,13.1787,31.2261,0.00078661,948.21
81,train,2.809304,61.1138,82.4032,0.00071043,392.26
81,val,5.545931,13.7140,31.5575,0.00071043,939.05
82,train,2.749026,63.4307,83.4393,0.00063746,391.69
82,val,5.503685,14.1983,31.8124,0.00063746,945.69
83,train,2.715738,64.0725,84.1013,0.00056783,391.79
83,val,5.511934,14.6062,31.5830,0.00056783,933.12
84,train,2.683356,65.3677,84.7805,0.00050169,391.66
84,val,5.516724,13.9689,32.0928,0.00050169,947.95
85,train,2.660445,65.7908,85.0799,0.00043917,392.43
85,val,5.482430,14.4277,32.2202,0.00043917,936.62
86,train,2.626182,66.8643,85.5202,0.00038039,391.94
86,val,5.494889,14.1218,31.8634,0.00038039,932.30
87,train,2.584484,68.1479,86.1217,0.00032549,391.76
87,val,5.499047,14.4277,31.6594,0.00032549,944.94
88,train,2.570665,68.7926,86.4786,0.00027456,391.90
88,val,5.499999,14.3768,32.5261,0.00027456,945.96
89,train,2.558659,69.4057,86.5247,0.00022771,391.99
89,val,5.474533,14.4532,32.5771,0.00022771,936.54
90,train,2.522343,70.3670,87.0715,0.00018503,392.20
90,val,5.459607,14.2748,32.7555,0.00018503,941.23
91,train,2.503672,70.8217,87.5435,0.00014661,392.13
91,val,5.476120,14.8866,32.7301,0.00014661,942.54
92,train,2.485334,71.5873,87.7450,0.00011253,392.17
92,val,5.476031,14.6572,32.4497,0.00011253,944.75
93,train,2.480804,71.4808,87.9206,0.00008285,392.27
93,val,5.465591,14.8101,33.1634,0.00008285,937.72
94,train,2.458084,72.3644,88.0414,0.00005764,392.02
94,val,5.467644,14.6572,32.7301,0.00005764,931.90
95,train,2.441557,72.6090,88.5019,0.00003695,392.24
95,val,5.464813,14.8611,32.5771,0.00003695,932.73
96,train,2.450535,72.7040,88.2976,0.00002081,392.20
96,val,5.448012,14.9121,33.3673,0.00002081,934.63
97,train,2.455533,72.2090,88.2199,0.00000926,391.76
97,val,5.449317,14.5042,33.0614,0.00000926,943.14
98,train,2.446302,72.8018,88.3206,0.00000233,391.44
98,val,5.456362,15.1415,32.5006,0.00000233,827.05
99,train,2.435992,73.0206,88.4329,0.00000002,390.33
99,val,5.446987,14.8101,33.0614,0.00000002,947.88
