epoch,phase,loss,top1,top5,lr,imgs_per_sec
11,val,nan,14.2857,71.4286,0.052481,
12,train,6.715961,28.5714,84.2857,0.054437,567
12,val,nan,14.2857,71.4286,0.054437,
13,train,6.880115,21.4286,81.4286,0.055100,632
13,val,nan,14.2857,71.4286,0.055100,
14,train,10.520956,21.4286,81.4286,0.054989,558
14,val,nan,14.2857,71.4286,0.054989,
15,train,6.466389,25.7143,84.2857,0.054657,602
15,val,nan,14.2857,71.4286,0.054657,
16,train,5.977493,28.5714,88.5714,0.054107,667
16,val,nan,14.2857,71.4286,0.054107,
17,train,5.176903,30.0000,82.8571,0.053343,609
17,val,nan,14.2857,71.4286,0.053343,
18,train,4.250110,25.7143,87.1429,0.052372,626
18,val,nan,14.2857,70.0000,0.052372,
19,train,3.600904,21.4286,87.1429,0.051200,630
19,val,nan,20.0000,62.8571,0.051200,
20,train,4.046672,12.8571,71.4286,0.049838,609
20,val,nan,14.2857,60.0000,0.049838,
21,train,3.591159,27.1429,75.7143,0.048297,619
21,val,nan,17.1429,68.5714,0.048297,
22,train,3.853158,30.0000,84.2857,0.046589,623
22,val,nan,15.7143,71.4286,0.046589,
23,train,4.267026,31.4286,84.2857,0.044727,614
23,val,nan,14.2857,71.4286,0.044727,
24,train,4.057519,24.2857,84.2857,0.042727,610
24,val,inf,14.2857,71.4286,0.042727,
25,train,3.866975,20.0000,82.8571,0.040605,622
25,val,885.283997,14.2857,71.4286,0.040605,
26,train,3.127760,27.1429,74.2857,0.038378,636
26,val,397.245789,14.2857,71.4286,0.038378,
27,train,3.160898,30.0000,70.0000,0.036063,593
27,val,164.662155,14.2857,71.4286,0.036063,
28,train,2.959558,30.0000,68.5714,0.033681,578
28,val,64.166138,18.5714,74.2857,0.033681,
29,train,2.866462,37.1429,82.8571,0.031248,592
29,val,28.253624,22.8571,78.5714,0.031248,
30,train,2.775707,37.1429,87.1429,0.028786,625
30,val,12.491673,25.7143,78.5714,0.028786,
31,train,3.421233,28.5714,85.7143,0.026314,557
31,val,nan,22.8571,78.5714,0.026314,
32,train,2.666663,34.2857,88.5714,0.023852,554
32,val,nan,21.4286,78.5714,0.023852,
33,train,2.898503,31.4286,82.8571,0.021420,619
33,val,nan,21.4286,78.5714,0.021420,
34,train,2.752637,27.1429,85.7143,0.019037,558
34,val,inf,22.8571,80.0000,0.019037,
35,train,2.787856,34.2857,84.2857,0.016722,620
35,val,inf,22.8571,81.4286,0.016722,
36,train,2.690408,32.8571,87.1429,0.014495,597
36,val,232.470978,20.0000,87.1429,0.014495,
37,train,2.837345,37.1429,85.7143,0.012373,638
37,val,147.426041,12.8571,90.0000,0.012373,
38,train,2.395865,41.4286,91.4286,0.010373,630
38,val,76.271011,12.8571,90.0000,0.010373,
39,train,2.425129,38.5714,92.8571,0.008511,630
39,val,41.118591,17.1429,88.5714,0.008511,
40,train,2.350396,41.4286,90.0000,0.006803,600
40,val,24.840912,15.7143,85.7143,0.006803,
41,train,2.362903,28.5714,90.0000,0.005262,591
41,val,17.086699,18.5714,85.7143,0.005262,
42,train,2.276107,42.8571,90.0000,0.003900,613
42,val,11.993198,18.5714,87.1429,0.003900,
43,train,2.307853,37.1429,94.2857,0.002729,562
43,val,8.028399,21.4286,88.5714,0.002729,
44,train,2.270044,44.2857,92.8571,0.001757,647
44,val,6.232012,20.0000,87.1429,0.001757,
45,train,2.306891,44.2857,92.8571,0.000993,632
45,val,5.440701,22.8571,87.1429,0.000993,
46,train,2.324888,34.2857,95.7143,0.000443,658
46,val,5.009145,22.8571,88.5714,0.000443,
47,train,2.365632,35.7143,94.2857,0.000111,636
47,val,4.555367,22.8571,88.5714,0.000111,
48,train,2.274222,34.2857,95.7143,0.000000,623
48,val,4.483046,22.8571,87.1429,0.000000,
49,train,2.313914,27.1429,90.0000,0.000111,613
49,val,4.239486,22.8571,87.1429,0.000111,
